route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3749,Non-AC Semi-Sleeper,08:50,06h 55m,15:45,2.3,469.0,33
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 9357,Non-AC Semi-Sleeper,09:15,07h 35m,16:50,2.1,448.0,33
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 40569,Non-AC Semi-Sleeper,09:40,07h 20m,17:00,3.5,448.0,34
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3634,AC Semi-Sleeper,10:10,05h 50m,16:00,3.8,648.0,41
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 23508,AC Seater,10:30,05h 15m,15:45,3.9,528.0,38
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3598,Non-AC Semi-Sleeper,10:35,07h 00m,17:35,2.6,444.0,34
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35086,AC Semi-Sleeper,11:15,05h 45m,17:00,3.9,648.0,45
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3580,AC Semi-Sleeper,12:15,05h 45m,18:00,3.7,648.0,45
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 24256,AC Seater,12:30,05h 30m,18:00,4.2,528.0,29
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 9319,Non-AC Semi-Sleeper,13:00,05h 35m,18:35,4.1,412.0,33
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3576,AC Semi-Sleeper,13:15,06h 15m,19:30,3.8,648.0,45
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35154,Non-AC Semi-Sleeper,13:40,06h 40m,20:20,3.7,444.0,33
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 9363,Non-AC Semi-Sleeper,14:00,05h 35m,19:35,2.3,412.0,32
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 24291,AC Seater,14:00,05h 00m,19:00,3.7,528.0,26
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3578,AC Semi-Sleeper,14:15,05h 45m,20:00,3.5,648.0,44
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 94285,AC Seater,14:25,04h 35m,19:00,3.1,528.0,32
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3722,Non-AC Semi-Sleeper,14:30,05h 35m,20:05,3.2,412.0,33
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3859,AC Semi-Sleeper,15:15,06h 10m,21:25,3.1,615.0,45
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3546,AC Semi-Sleeper,16:15,06h 15m,22:30,3.7,648.0,30
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3500,Non-AC Semi-Sleeper,16:20,08h 25m,00:45,3.5,469.0,33
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3376,Non-AC Semi-Sleeper,16:45,06h 30m,23:15,4.8,436.0,33
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 2561,AC Seater,17:15,05h 30m,22:45,3.6,528.0,38
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3358,Non-AC Semi-Sleeper,17:20,07h 50m,01:10,3.9,436.0,33
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 2674,Non-AC Semi-Sleeper,17:30,07h 50m,01:20,2.5,469.0,33
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3366,Non-AC Semi-Sleeper,17:55,07h 50m,01:45,2.4,469.0,33
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3360,AC Semi-Sleeper,18:25,07h 05m,01:30,2.6,648.0,43
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 2575,Non-AC Seater/Sleeper,18:55,06h 20m,01:15,2.9,576.0,44
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 2898,Non-AC Sleeper,19:25,06h 35m,02:00,3.5,607.0,26
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4916,Non-AC Semi-Sleeper,19:25,06h 50m,02:15,2.6,469.0,33
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 2563,AC Seater,19:30,05h 55m,01:25,4.0,476.0,18
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 2798,AC Seater,19:55,06h 35m,02:30,2.3,511.0,37
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3622,Non-AC Semi-Sleeper,20:00,07h 35m,03:35,4.6,444.0,34
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 2688,Non-AC Semi-Sleeper,20:00,06h 45m,02:45,4.0,469.0,33
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4972,Non-AC Semi-Sleeper,20:10,07h 10m,03:20,4.4,469.0,33
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 2549,Non-AC Seater/Sleeper,20:15,06h 00m,02:15,3.9,536.0,44
